Best Fitness, Average Fitness, Worst Fitness
64, 58.27, 45
64, 57.88, 46
64, 57.99, 43
64, 57.61, 38
64, 57.19, 39
64, 57.01, 42
64, 56.14, 44
64, 56.38, 37
64, 56.13, 42
64, 56.2, 44
64, 56.78, 40
64, 56.88, 39
64, 56.9, 32
64, 57.87, 43
64, 57.76, 34
64, 57.31, 45
64, 57.44, 43
64, 57.04, 37
64, 57.82, 41
64, 57.84, 47
64, 56.49, 38
64, 57.21, 39
64, 57.02, 41
64, 57.7, 41
64, 58.02, 39
64, 57.87, 46
64, 57.64, 44
64, 57.22, 40
63, 57.41, 39
63, 57.3, 42
64, 58.2, 43
64, 57.18, 39
63, 57.79, 37
63, 57.9, 40
64, 57.58, 46
64, 58.65, 46
64, 58.53, 42
64, 57.92, 34
64, 59.09, 44
64, 58.09, 42
64, 58.34, 40
64, 58.29, 41
64, 58.54, 46
64, 57.47, 46
64, 56.89, 41
64, 56.56, 36
63, 56.21, 36
64, 56.79, 37
64, 57.58, 39
64, 58.41, 43
64, 58.17, 37
64, 57.61, 38
64, 57.53, 33
64, 57.45, 43
64, 58.8, 46
64, 58.41, 39
64, 57.97, 36
64, 57.68, 36
64, 58.64, 45
64, 57.96, 43
64, 58.2, 36
64, 57.43, 31
64, 59.17, 46
64, 58.69, 44
64, 56.88, 40
64, 57.45, 39
64, 57.94, 34
64, 57.39, 39
64, 57.1, 38
64, 58.21, 45
63, 57.5, 38
62, 58.13, 39
63, 56.17, 33
63, 56.88, 40
63, 57.38, 44
63, 56.97, 38
63, 57.05, 42
63, 57.62, 44
64, 57.63, 44
64, 56.96, 36
64, 57.42, 44
64, 57.97, 39
63, 56.94, 41
63, 57.11, 42
63, 56.2, 33
63, 57.97, 38
63, 57.42, 37
64, 56.12, 34
64, 56.03, 37
63, 56.35, 37
63, 57.43, 44
63, 57.28, 39
64, 56.64, 38
64, 57.63, 37
64, 57.46, 36
64, 57.59, 42
64, 58.23, 35
64, 57.94, 36
64, 58.8, 42
64, 58.01, 34
64, 57.37, 39
64, 57.78, 37
64, 56.8, 38
64, 57.15, 29
64, 57.52, 42
64, 57.52, 34
64, 57.6, 40
64, 58.83, 41
64, 57.86, 41
64, 57.83, 42
64, 58.86, 41
64, 59.22, 39
64, 59.85, 41
64, 58.09, 38
64, 59.36, 35
64, 58.74, 41
64, 59.93, 46
64, 60.33, 42
64, 60.72, 43
64, 59.92, 42
64, 59.83, 47
64, 59.65, 44
64, 59.44, 43
64, 58.92, 29
64, 59.15, 43
64, 59.07, 44
64, 59.06, 43
